agence_cat,ark_bnf,authnumber,type_autorite,type_entite,za001,za100,za152,za2XX,za801
BnF,BnF,4838,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,4862,nom_collectivite,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,4883,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,4905,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,4926,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,4947,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,4970,matiere_nom_commun,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,4994,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,5016,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,5037,nom_collectivite,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,5057,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,5079,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,5099,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,5123,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,5145,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,5165,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,5185,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,5211,matiere_nom_commun,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,5232,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,5253,nom_geographique,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,5277,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,5300,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,5327,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,5347,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,5376,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,5400,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,5422,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,5446,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,5466,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,5488,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,5508,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,5528,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,5549,nom_geographique,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
